Input Number, Run_Number, Result@ 100, X1, Y, X2, X1*, Y*, X2*
In01, Run: 001, P, 1, 114, 0
In07, Run: 096, F, 0, 96, 0
In07, Run: 097, P, 2, 113, 0
In07, Run: 098, P, 0, 105, 0
In07, Run: 099, P, 1, 114, 0
In07, Run: 100, P, 2, 111, 0
In08, Run: 001, P, 1, 187, 0
In08, Run: 002, P, 0, 179, 0
In08, Run: 003, P, 1, 180, 0
In08, Run: 004, P, 3, 171, 0
In08, Run: 005, P, 1, 203, 0
In08, Run: 006, P, 1, 179, 0
In08, Run: 007, P, 2, 185, 0
In08, Run: 008, P, 1, 212, 0
In08, Run: 009, P, 1, 190, 0
In08, Run: 010, P, 2, 203, 0
In08, Run: 011, P, 2, 182, 0
In08, Run: 012, P, 0, 199, 0
In08, Run: 013, P, 1, 196, 0
In08, Run: 014, P, 2, 217, 0
In08, Run: 015, P, 1, 185, 0
In08, Run: 016, P, 4, 193, 0
In08, Run: 017, P, 1, 195, 0
In08, Run: 018, P, 0, 193, 0
In08, Run: 019, P, 2, 178, 0
In08, Run: 020, P, 0, 180, 0
In08, Run: 021, P, 1, 173, 0
In08, Run: 022, P, 0, 189, 0
In08, Run: 023, P, 1, 185, 0
In08, Run: 024, P, 2, 216, 0
In08, Run: 025, P, 0, 181, 0
In08, Run: 026, P, 2, 175, 1
In08, Run: 027, P, 1, 183, 0
In08, Run: 028, P, 1, 186, 0
In08, Run: 029, P, 0, 185, 0
In08, Run: 030, P, 1, 184, 0
In08, Run: 031, P, 2, 183, 0
In08, Run: 032, P, 0, 195, 0
In08, Run: 033, P, 1, 193, 0
In08, Run: 034, P, 2, 189, 0
In08, Run: 035, P, 0, 198, 0
In08, Run: 036, P, 1, 198, 0
In08, Run: 037, P, 0, 196, 0
In08, Run: 038, P, 0, 183, 0
In08, Run: 039, P, 1, 181, 0
In08, Run: 040, P, 2, 187, 0
In08, Run: 041, P, 1, 200, 0
In08, Run: 042, P, 1, 181, 0
In08, Run: 043, P, 3, 177, 0
In08, Run: 044, P, 2, 187, 0
In08, Run: 045, P, 0, 195, 0
In08, Run: 046, P, 0, 185, 0
In08, Run: 047, P, 3, 205, 0
In08, Run: 048, P, 1, 182, 0
In08, Run: 049, P, 0, 195, 0
In08, Run: 050, P, 0, 196, 0
In08, Run: 051, P, 2, 193, 0
In08, Run: 052, P, 0, 184, 0
In08, Run: 053, P, 3, 167, 0
In08, Run: 054, P, 1, 206, 0
In08, Run: 055, P, 1, 181, 0
In08, Run: 056, P, 1, 191, 0
In08, Run: 057, P, 0, 191, 0
In08, Run: 058, P, 2, 206, 0
In08, Run: 059, P, 4, 193, 0
In08, Run: 060, P, 1, 174, 0
In08, Run: 061, P, 0, 200, 0
In08, Run: 062, P, 1, 177, 0
In08, Run: 063, P, 2, 181, 0
In08, Run: 064, P, 1, 195, 0
In08, Run: 065, P, 0, 180, 0
In08, Run: 066, P, 1, 197, 0
In08, Run: 067, P, 1, 198, 0
In08, Run: 068, P, 1, 181, 0
In08, Run: 069, P, 1, 197, 0
In08, Run: 070, P, 2, 199, 0
In08, Run: 071, P, 0, 202, 0
In08, Run: 072, P, 1, 192, 0
In08, Run: 073, P, 3, 176, 0
In08, Run: 074, P, 0, 190, 0
In08, Run: 075, P, 1, 172, 0
In08, Run: 076, P, 1, 177, 0
In08, Run: 077, P, 0, 171, 0
In08, Run: 078, P, 0, 187, 0
In08, Run: 079, P, 0, 193, 0
In08, Run: 080, P, 0, 186, 0
In08, Run: 081, P, 0, 188, 0
In08, Run: 082, P, 4, 198, 0
In08, Run: 083, P, 0, 178, 0
In08, Run: 084, P, 0, 186, 0
In08, Run: 085, P, 2, 175, 0
In08, Run: 086, P, 1, 197, 0
In08, Run: 087, P, 0, 186, 0
In08, Run: 088, P, 1, 186, 0
In08, Run: 089, P, 1, 179, 0
In08, Run: 090, P, 1, 182, 0
In08, Run: 091, P, 1, 206, 0
In08, Run: 092, P, 1, 207, 0
In08, Run: 093, P, 1, 203, 0
In08, Run: 094, P, 0, 193, 0
In08, Run: 095, P, 3, 189, 0
In08, Run: 096, P, 2, 190, 0
In08, Run: 097, P, 1, 207, 0
In08, Run: 098, P, 1, 193, 0
In08, Run: 099, P, 0, 191, 0
In08, Run: 100, P, 1, 186, 0
In09, Run: 001, P, 3, 302, 0
In09, Run: 002, P, 0, 291, 0
In09, Run: 003, P, 0, 311, 0
In09, Run: 004, P, 2, 292, 0
In09, Run: 005, P, 0, 297, 0
In09, Run: 006, P, 0, 291, 0
In09, Run: 007, P, 1, 310, 0
In09, Run: 008, P, 1, 310, 0
In09, Run: 009, P, 0, 294, 0
In09, Run: 010, P, 0, 285, 0
In09, Run: 011, P, 0, 291, 0
In09, Run: 012, P, 1, 304, 0
In09, Run: 013, P, 1, 301, 0
In09, Run: 014, P, 0, 284, 0
In09, Run: 015, P, 1, 292, 0
In09, Run: 016, P, 1, 290, 0
In09, Run: 017, P, 1, 285, 0
In09, Run: 018, P, 0, 293, 0
In09, Run: 019, P, 1, 292, 0
In09, Run: 020, P, 2, 295, 0
In09, Run: 021, P, 1, 315, 0
In09, Run: 022, P, 2, 285, 0
In09, Run: 023, P, 1, 295, 0
In09, Run: 024, P, 0, 289, 0
In09, Run: 025, P, 2, 324, 0
In09, Run: 026, P, 1, 296, 0
In09, Run: 027, P, 0, 289, 0
In09, Run: 028, P, 1, 308, 0
In09, Run: 029, P, 1, 282, 0
In09, Run: 030, P, 1, 296, 0
In09, Run: 031, P, 0, 298, 0
In09, Run: 032, P, 0, 295, 0
In09, Run: 033, P, 2, 283, 0
In09, Run: 034, P, 0, 312, 0
In09, Run: 035, P, 1, 306, 0
In09, Run: 036, P, 0, 286, 0
In09, Run: 037, P, 1, 286, 0
In09, Run: 038, P, 0, 313, 0
In09, Run: 039, P, 1, 295, 0
In09, Run: 040, P, 1, 301, 0
In09, Run: 041, P, 0, 293, 0
In09, Run: 042, P, 2, 303, 0
In09, Run: 043, P, 1, 290, 0
In09, Run: 044, P, 1, 313, 0
In09, Run: 045, P, 0, 297, 0
In09, Run: 046, P, 2, 306, 0
In09, Run: 047, P, 0, 293, 0
In09, Run: 048, P, 1, 296, 0
In09, Run: 049, P, 3, 308, 0
In09, Run: 050, P, 3, 302, 0
In09, Run: 051, P, 1, 302, 0
In09, Run: 052, P, 1, 292, 0
In09, Run: 053, P, 2, 310, 0
In09, Run: 054, P, 1, 299, 0
In09, Run: 055, P, 1, 310, 0
In09, Run: 056, P, 0, 302, 0
In09, Run: 057, P, 3, 293, 0
In09, Run: 058, P, 1, 309, 0
In09, Run: 059, P, 1, 315, 0
In09, Run: 060, P, 0, 302, 0
In09, Run: 061, P, 0, 300, 0
In09, Run: 062, P, 0, 296, 0
In09, Run: 063, P, 1, 278, 0
In09, Run: 064, P, 1, 298, 0
In09, Run: 065, P, 2, 296, 0
In09, Run: 066, P, 0, 277, 0
In09, Run: 067, P, 1, 299, 0
In09, Run: 068, P, 1, 309, 0
In09, Run: 069, P, 1, 284, 0
In09, Run: 070, P, 0, 288, 0
In09, Run: 071, P, 4, 286, 0
In09, Run: 072, P, 0, 291, 0
In09, Run: 073, P, 1, 313, 0
In09, Run: 074, P, 0, 307, 0
In09, Run: 075, P, 0, 286, 0
In09, Run: 076, P, 0, 283, 0
In09, Run: 077, P, 0, 302, 0
In09, Run: 078, P, 0, 282, 0
In09, Run: 079, P, 0, 292, 0
In09, Run: 080, P, 2, 303, 0
In09, Run: 081, P, 0, 304, 0
In09, Run: 082, P, 3, 303, 0
In09, Run: 083, P, 0, 283, 0
In09, Run: 084, P, 2, 289, 0
In09, Run: 085, P, 3, 312, 0
In09, Run: 086, P, 1, 303, 0
In09, Run: 087, P, 0, 299, 0
In09, Run: 088, P, 0, 300, 0
In09, Run: 089, P, 1, 298, 0
In09, Run: 090, P, 1, 313, 0
In09, Run: 091, P, 2, 317, 0
In09, Run: 092, P, 0, 294, 0
In09, Run: 093, P, 0, 293, 0
In09, Run: 094, P, 1, 289, 0
In09, Run: 095, P, 0, 300, 0
In09, Run: 096, P, 0, 301, 0
In09, Run: 097, P, 1, 296, 0
In09, Run: 098, P, 1, 303, 0
In09, Run: 099, P, 1, 287, 0
In09, Run: 100, P, 0, 289, 0
In10, Run: 001, F, 0, 98, 0
In10, Run: 002, F, 1, 90, 0
In10, Run: 003, F, 3, 104, 0
In10, Run: 004, F, 2, 104, 0
In10, Run: 005, F, 0, 94, 0
In10, Run: 006, P, 1, 108, 0
In10, Run: 007, P, 0, 115, 0
In10, Run: 008, P, 0, 134, 0
In10, Run: 009, F, 1, 101, 0
In10, Run: 010, F, 0, 100, 0
In10, Run: 011, P, 0, 105, 0
In10, Run: 012, P, 0, 121, 0
In10, Run: 013, P, 1, 107, 0
In10, Run: 014, P, 2, 116, 0
In10, Run: 015, F, 1, 100, 0
In10, Run: 016, P, 0, 101, 0
In10, Run: 017, P, 0, 114, 0
In10, Run: 018, P, 1, 109, 0
In10, Run: 019, F, 0, 112, 0
In10, Run: 020, P, 1, 103, 0
In10, Run: 021, F, 1, 104, 0
In10, Run: 022, F, 1, 99, 0
In10, Run: 023, P, 1, 133, 0
In10, Run: 024, P, 2, 120, 0
In10, Run: 025, P, 0, 106, 0
In10, Run: 026, F, 0, 105, 0
In10, Run: 027, P, 1, 109, 0
In10, Run: 028, F, 2, 118, 0
In10, Run: 029, P, 1, 119, 0
In10, Run: 030, F, 0, 106, 0
In10, Run: 031, F, 1, 109, 0
In10, Run: 032, P, 1, 120, 0
In10, Run: 033, P, 1, 100, 0
In10, Run: 034, P, 3, 121, 0
In10, Run: 035, P, 0, 127, 0
In10, Run: 036, F, 3, 109, 0
In10, Run: 037, P, 3, 108, 0
In10, Run: 038, P, 3, 123, 0
In10, Run: 039, F, 2, 102, 0
In10, Run: 040, P, 0, 97, 0
In10, Run: 041, F, 1, 112, 0
In10, Run: 042, F, 0, 88, 0
In10, Run: 043, P, 1, 115, 0
In10, Run: 044, F, 0, 93, 0
In10, Run: 045, P, 0, 121, 0
In10, Run: 046, F, 2, 103, 0
In10, Run: 047, P, 1, 101, 0
In10, Run: 048, F, 0, 108, 0
In10, Run: 049, P, 0, 108, 0
In10, Run: 050, F, 1, 103, 0
In10, Run: 051, F, 5, 96, 0
In10, Run: 052, P, 2, 119, 0
In10, Run: 053, P, 0, 128, 0
In10, Run: 054, P, 1, 110, 0
In10, Run: 055, F, 3, 112, 0
In10, Run: 056, P, 0, 119, 0
In10, Run: 057, F, 1, 100, 0
In10, Run: 058, P, 1, 108, 0
In10, Run: 059, P, 1, 103, 0
In10, Run: 060, P, 0, 101, 0
In10, Run: 061, F, 0, 96, 0
In10, Run: 062, F, 1, 105, 0
In10, Run: 063, P, 0, 115, 0
In10, Run: 064, P, 2, 100, 0
In10, Run: 065, F, 1, 93, 0
In10, Run: 066, F, 0, 113, 0
In10, Run: 067, F, 1, 93, 0
In10, Run: 068, F, 2, 114, 0
In10, Run: 069, P, 0, 118, 0
In10, Run: 070, P, 0, 102, 0
In10, Run: 071, F, 1, 99, 0
In10, Run: 072, P, 1, 126, 0
In10, Run: 073, P, 2, 114, 0
In10, Run: 074, P, 1, 110, 0
In10, Run: 075, P, 2, 116, 0
In10, Run: 076, F, 0, 95, 0
In10, Run: 077, F, 0, 101, 0
In10, Run: 078, P, 2, 116, 0
In10, Run: 079, P, 1, 106, 0
In10, Run: 080, F, 0, 110, 0
In10, Run: 081, F, 3, 93, 0
In10, Run: 082, F, 0, 114, 0
In10, Run: 083, F, 1, 106, 0
In10, Run: 084, P, 0, 113, 0
In10, Run: 085, P, 1, 105, 0
In10, Run: 086, F, 1, 95, 0
In10, Run: 087, F, 0, 88, 0
In10, Run: 088, P, 0, 122, 0
In10, Run: 089, F, 3, 99, 0
In10, Run: 090, P, 2, 111, 0
In10, Run: 091, P, 1, 112, 0
In10, Run: 092, F, 0, 94, 0
In10, Run: 093, P, 0, 108, 0
In10, Run: 094, F, 1, 99, 0
In10, Run: 095, F, 2, 103, 0
In10, Run: 096, F, 1, 99, 0
In10, Run: 097, F, 0, 100, 0
In10, Run: 098, P, 0, 111, 0
In10, Run: 099, F, 1, 96, 0
In10, Run: 100, F, 1, 107, 0
In11, Run: 001, P, 1, 141, 0
In11, Run: 002, P, 0, 130, 0
In11, Run: 003, P, 1, 131, 0
In11, Run: 004, P, 2, 128, 0
In11, Run: 005, P, 0, 137, 0
In11, Run: 006, P, 1, 146, 0
In11, Run: 007, P, 1, 149, 0
In11, Run: 008, P, 2, 145, 0
In11, Run: 009, P, 4, 148, 0
In11, Run: 010, P, 2, 149, 0
In11, Run: 011, P, 2, 149, 0
In11, Run: 012, P, 4, 130, 0
In11, Run: 013, P, 3, 151, 0
In11, Run: 014, P, 1, 134, 0
In11, Run: 015, P, 3, 150, 0
In11, Run: 016, P, 0, 140, 0
In11, Run: 017, P, 0, 141, 0
In11, Run: 018, P, 0, 135, 0
In11, Run: 019, P, 2, 155, 0
In11, Run: 020, P, 1, 148, 0
In11, Run: 021, P, 0, 154, 0
In11, Run: 022, P, 1, 155, 0
In11, Run: 023, P, 0, 144, 0
In11, Run: 024, P, 0, 155, 0
In11, Run: 025, P, 1, 152, 0
In11, Run: 026, P, 1, 138, 0
In11, Run: 027, P, 1, 144, 0
In11, Run: 028, P, 2, 132, 0
In11, Run: 029, P, 3, 154, 0
In11, Run: 030, P, 1, 129, 0
In11, Run: 031, P, 0, 137, 0
In11, Run: 032, P, 0, 146, 0
In11, Run: 033, P, 1, 131, 0
In11, Run: 034, P, 0, 151, 0
In11, Run: 035, P, 3, 147, 0
In11, Run: 036, P, 3, 157, 0
In11, Run: 037, P, 1, 140, 0
In11, Run: 038, P, 0, 145, 0
In11, Run: 039, P, 2, 123, 0
In11, Run: 040, P, 1, 149, 0
In11, Run: 041, P, 2, 146, 0
In11, Run: 042, P, 1, 140, 0
In11, Run: 043, P, 1, 136, 0
In11, Run: 044, P, 2, 132, 0
In11, Run: 045, P, 2, 145, 0
In11, Run: 046, P, 2, 146, 0
In11, Run: 047, P, 1, 146, 0
In11, Run: 048, P, 1, 141, 0
In11, Run: 049, P, 1, 142, 0
In11, Run: 050, P, 1, 127, 0
In11, Run: 051, P, 0, 136, 0
In11, Run: 052, P, 3, 146, 0
In11, Run: 053, P, 0, 141, 0
In11, Run: 054, P, 0, 141, 0
In11, Run: 055, F, 1, 133, 0
In11, Run: 056, P, 1, 135, 0
In11, Run: 057, P, 5, 127, 0
In11, Run: 058, P, 2, 154, 0
In11, Run: 059, P, 0, 139, 0
In11, Run: 060, P, 1, 160, 0
In11, Run: 061, P, 2, 150, 0
In11, Run: 062, P, 1, 143, 0
In11, Run: 063, P, 2, 143, 0
In11, Run: 064, P, 0, 149, 0
In11, Run: 065, P, 0, 141, 0
In11, Run: 066, P, 2, 125, 0
In11, Run: 067, P, 2, 148, 1
In11, Run: 068, F, 0, 107, 0
In11, Run: 069, P, 0, 144, 0
In11, Run: 070, P, 1, 140, 0
In11, Run: 071, P, 0, 142, 0
In11, Run: 072, P, 0, 154, 0
In11, Run: 073, P, 1, 157, 0
In11, Run: 074, P, 1, 116, 0
In11, Run: 075, P, 0, 133, 0
In11, Run: 076, P, 1, 149, 0
In11, Run: 077, P, 1, 139, 0
In11, Run: 078, P, 0, 126, 0
In11, Run: 079, P, 1, 135, 0
In11, Run: 080, P, 0, 147, 0
In11, Run: 081, P, 2, 137, 0
In11, Run: 082, P, 0, 132, 0
In11, Run: 083, P, 3, 152, 0
In11, Run: 084, P, 1, 146, 0
In11, Run: 085, P, 3, 135, 0
In11, Run: 086, P, 0, 147, 0
In11, Run: 087, P, 0, 142, 0
In11, Run: 088, P, 0, 142, 0
In11, Run: 089, P, 1, 146, 0
In11, Run: 090, P, 1, 142, 0
In11, Run: 091, P, 2, 150, 0
In11, Run: 092, P, 2, 154, 0
In11, Run: 093, P, 1, 148, 0
In11, Run: 094, P, 2, 128, 0
In11, Run: 095, P, 0, 134, 0
In11, Run: 096, P, 1, 148, 0
In11, Run: 097, P, 2, 141, 0
In11, Run: 098, P, 0, 147, 0
In11, Run: 099, P, 0, 137, 0
In11, Run: 100, P, 0, 137, 0
In12, Run: 001, P, 0, 166, 0
In12, Run: 002, P, 1, 155, 0
In12, Run: 003, P, 2, 167, 0
In12, Run: 004, P, 2, 164, 0
In12, Run: 005, P, 0, 173, 0
In12, Run: 006, P, 0, 154, 0
In12, Run: 007, P, 4, 171, 0
In12, Run: 008, P, 4, 160, 0
In12, Run: 009, P, 0, 181, 0
In12, Run: 010, P, 1, 168, 0
In12, Run: 011, P, 1, 161, 0
In12, Run: 012, P, 2, 181, 0
In12, Run: 013, P, 1, 180, 0
In12, Run: 014, P, 0, 189, 0
In12, Run: 015, P, 0, 160, 0
In12, Run: 016, P, 0, 175, 0
In12, Run: 017, P, 0, 170, 0
In12, Run: 018, P, 1, 166, 0
In12, Run: 019, P, 0, 174, 0
In12, Run: 020, P, 1, 174, 0
In12, Run: 021, P, 0, 147, 0
In12, Run: 022, P, 1, 164, 0
In12, Run: 023, P, 1, 176, 0
In12, Run: 024, P, 0, 175, 0
In12, Run: 025, P, 0, 178, 0
In12, Run: 026, P, 2, 157, 0
In12, Run: 027, P, 0, 158, 0
In12, Run: 028, P, 2, 177, 0
In12, Run: 029, P, 0, 165, 0
In12, Run: 030, P, 1, 157, 0
In12, Run: 031, P, 0, 159, 0
In12, Run: 032, P, 4, 182, 0
In12, Run: 033, P, 0, 170, 0
In12, Run: 034, P, 1, 164, 0
In12, Run: 035, P, 2, 157, 0
In12, Run: 036, P, 1, 169, 0
In12, Run: 037, P, 0, 177, 0
In12, Run: 038, P, 2, 172, 0
In12, Run: 039, P, 0, 164, 0
In12, Run: 040, P, 2, 161, 0
In12, Run: 041, P, 0, 181, 0
In12, Run: 042, P, 1, 171, 0
In12, Run: 043, P, 2, 156, 0
In12, Run: 044, P, 1, 179, 0
In12, Run: 045, P, 0, 164, 0
In12, Run: 046, P, 0, 172, 0
In12, Run: 047, P, 0, 181, 0
In12, Run: 048, P, 0, 174, 0
In12, Run: 049, P, 1, 160, 0
In12, Run: 050, P, 1, 177, 0
In12, Run: 051, P, 1, 174, 0
In12, Run: 052, P, 1, 173, 0
In12, Run: 053, P, 1, 159, 0
In12, Run: 054, P, 1, 180, 0
In12, Run: 055, P, 1, 159, 0
In12, Run: 056, P, 1, 174, 0
In12, Run: 057, P, 0, 176, 0
In12, Run: 058, P, 0, 154, 0
In12, Run: 059, P, 2, 173, 0
In12, Run: 060, P, 0, 190, 0
In12, Run: 061, P, 2, 167, 0
In12, Run: 062, P, 0, 187, 0
In12, Run: 063, P, 2, 175, 0
In12, Run: 064, P, 0, 166, 0
In12, Run: 065, P, 0, 164, 0
In12, Run: 066, P, 1, 164, 0
In12, Run: 067, P, 0, 182, 0
In12, Run: 068, P, 0, 170, 0
In12, Run: 069, P, 1, 185, 0
In12, Run: 070, P, 2, 167, 0
In12, Run: 071, P, 1, 185, 0
In12, Run: 072, P, 0, 182, 0
In12, Run: 073, P, 3, 171, 0
In12, Run: 074, P, 1, 187, 0
In12, Run: 075, P, 1, 159, 0
In12, Run: 076, P, 0, 164, 0
In12, Run: 077, P, 1, 176, 0
In12, Run: 078, P, 2, 159, 0
In12, Run: 079, P, 1, 159, 0
In12, Run: 080, P, 1, 178, 0
In12, Run: 081, P, 1, 169, 0
In12, Run: 082, P, 0, 171, 0
In12, Run: 083, P, 4, 175, 0
In12, Run: 084, P, 1, 164, 0
In12, Run: 085, P, 1, 181, 0
In12, Run: 086, P, 2, 168, 0
In12, Run: 087, P, 0, 187, 0
In12, Run: 088, P, 0, 187, 0
In12, Run: 089, P, 1, 160, 0
In12, Run: 090, P, 0, 176, 0
In12, Run: 091, P, 0, 172, 0
In12, Run: 092, P, 0, 173, 0
In12, Run: 093, P, 1, 165, 0
In12, Run: 094, P, 0, 159, 0
In12, Run: 095, P, 1, 163, 0
In12, Run: 096, P, 1, 174, 0
In12, Run: 097, P, 1, 168, 0
In12, Run: 098, P, 0, 165, 0
In12, Run: 099, P, 5, 172, 0
In12, Run: 100, P, 0, 159, 0
In13, Run: 001, P, 0, 117, 0
In13, Run: 002, P, 0, 104, 0
In13, Run: 003, F, 1, 92, 0
In13, Run: 004, P, 0, 117, 0
In13, Run: 005, F, 0, 107, 0
In13, Run: 006, P, 2, 117, 0
In13, Run: 007, P, 2, 131, 0
In13, Run: 008, P, 2, 121, 0
In13, Run: 009, P, 0, 131, 0
In13, Run: 010, F, 1, 96, 0
In13, Run: 011, P, 2, 116, 0
In13, Run: 012, P, 1, 125, 0
In13, Run: 013, P, 0, 112, 0
In13, Run: 014, P, 2, 109, 0
In13, Run: 015, P, 1, 111, 0
In13, Run: 016, P, 0, 124, 0
In13, Run: 017, P, 1, 114, 0
In13, Run: 018, P, 0, 131, 0
In13, Run: 019, F, 0, 102, 0
In13, Run: 020, P, 2, 107, 0
In13, Run: 021, P, 1, 114, 0
In13, Run: 022, P, 2, 112, 0
In13, Run: 023, F, 0, 106, 0
In13, Run: 024, P, 5, 113, 0
In13, Run: 025, P, 0, 119, 0
In13, Run: 026, F, 2, 105, 0
In13, Run: 027, P, 0, 116, 0
In13, Run: 028, P, 0, 114, 0
In13, Run: 029, P, 1, 101, 0
In13, Run: 030, P, 1, 111, 0
In13, Run: 031, F, 0, 108, 0
In13, Run: 032, P, 1, 118, 0
In13, Run: 033, P, 0, 117, 0
In13, Run: 034, F, 1, 99, 0
In13, Run: 035, P, 1, 118, 0
In13, Run: 036, F, 1, 106, 0
In13, Run: 037, P, 0, 109, 0
In13, Run: 038, P, 1, 109, 0
In13, Run: 039, P, 2, 123, 0
In13, Run: 040, P, 0, 111, 0
In13, Run: 041, P, 2, 116, 0
In13, Run: 042, F, 3, 96, 0
In13, Run: 043, P, 1, 103, 0
In13, Run: 044, P, 1, 116, 0
In13, Run: 045, P, 1, 109, 0
In13, Run: 046, F, 1, 98, 0
In13, Run: 047, F, 1, 110, 0
In13, Run: 048, P, 0, 120, 0
In13, Run: 049, P, 0, 112, 0
In13, Run: 050, P, 0, 116, 0
In13, Run: 051, P, 0, 130, 0
In13, Run: 052, P, 1, 115, 0
In13, Run: 053, P, 3, 110, 0
In13, Run: 054, P, 3, 121, 0
In13, Run: 055, P, 1, 107, 0
In13, Run: 056, P, 3, 119, 0
In13, Run: 057, P, 1, 107, 0
In13, Run: 058, F, 1, 104, 0
In13, Run: 059, P, 0, 117, 0
In13, Run: 060, P, 0, 106, 0
In13, Run: 061, P, 0, 108, 0
In13, Run: 062, P, 0, 127, 0
In13, Run: 063, P, 2, 116, 0
In13, Run: 064, P, 2, 103, 0
In13, Run: 065, P, 3, 110, 0
In13, Run: 066, P, 1, 111, 0
In13, Run: 067, P, 2, 119, 0
In13, Run: 068, F, 3, 109, 0
In13, Run: 069, P, 1, 113, 0
In13, Run: 070, P, 0, 126, 0
In13, Run: 071, P, 0, 112, 0
In13, Run: 072, F, 2, 96, 0
In13, Run: 073, P, 1, 117, 0
In13, Run: 074, P, 5, 108, 0
In13, Run: 075, P, 1, 120, 0
In13, Run: 076, F, 0, 113, 0
In13, Run: 077, P, 1, 93, 0
In13, Run: 078, P, 2, 110, 0
In13, Run: 079, F, 2, 121, 0
In13, Run: 080, P, 2, 111, 0
In13, Run: 081, P, 0, 108, 0
In13, Run: 082, P, 0, 118, 0
In13, Run: 083, F, 1, 91, 0
In13, Run: 084, P, 1, 114, 0
In13, Run: 085, F, 0, 102, 0
In13, Run: 086, P, 1, 107, 0
In13, Run: 087, F, 0, 106, 0
In13, Run: 088, F, 0, 99, 0
In13, Run: 089, P, 2, 123, 0
In13, Run: 090, F, 0, 111, 0
In13, Run: 091, P, 2, 114, 0
In13, Run: 092, P, 1, 112, 0
In13, Run: 093, P, 0, 105, 0
In13, Run: 094, P, 1, 104, 0
In13, Run: 095, P, 3, 111, 0
In13, Run: 096, P, 0, 100, 0
In13, Run: 097, P, 1, 93, 1
In13, Run: 098, P, 0, 116, 0
In13, Run: 099, F, 2, 99, 0
In13, Run: 100, P, 0, 125, 0
In14, Run: 001, P, 0, 105, 0
In14, Run: 002, F, 3, 104, 0
In14, Run: 003, P, 0, 127, 0
In14, Run: 004, F, 1, 89, 0
In14, Run: 005, P, 1, 118, 0
In14, Run: 006, P, 1, 96, 0
In14, Run: 007, F, 0, 95, 0
In14, Run: 008, P, 1, 109, 0
In14, Run: 009, P, 3, 110, 0
In14, Run: 010, P, 2, 127, 0
In14, Run: 011, P, 0, 107, 0
In14, Run: 012, P, 1, 111, 0
In14, Run: 013, P, 1, 117, 0
In14, Run: 014, F, 2, 107, 0
In14, Run: 015, F, 0, 96, 0
In14, Run: 016, P, 0, 111, 0
In14, Run: 017, P, 0, 114, 0
In14, Run: 018, P, 2, 112, 0
In14, Run: 019, P, 2, 110, 0
In14, Run: 020, F, 1, 101, 0
In14, Run: 021, P, 0, 111, 0
In14, Run: 022, P, 1, 104, 0
In14, Run: 023, P, 4, 105, 0
In14, Run: 024, P, 0, 97, 0
In14, Run: 025, P, 1, 118, 0
In14, Run: 026, P, 1, 114, 0
In14, Run: 027, F, 0, 104, 0
In14, Run: 028, P, 1, 103, 0
In14, Run: 029, P, 0, 114, 0
In14, Run: 030, F, 3, 97, 0
In14, Run: 031, F, 2, 110, 0
In14, Run: 032, F, 1, 106, 0
In14, Run: 033, F, 1, 97, 0
In14, Run: 034, P, 0, 120, 0
In14, Run: 035, P, 1, 120, 0
In14, Run: 036, P, 1, 100, 0
In14, Run: 037, P, 3, 113, 0
In14, Run: 038, P, 0, 104, 0
In14, Run: 039, P, 1, 105, 0
In14, Run: 040, F, 0, 103, 0
In14, Run: 041, P, 2, 120, 0
In14, Run: 042, F, 1, 100, 0
In14, Run: 043, P, 2, 107, 0
In14, Run: 044, F, 0, 100, 0
In14, Run: 045, P, 1, 115, 0
In14, Run: 046, P, 0, 114, 0
In14, Run: 047, P, 3, 119, 0
In14, Run: 048, P, 0, 104, 0
In14, Run: 049, F, 1, 101, 0
In14, Run: 050, P, 0, 119, 0
In14, Run: 051, F, 1, 105, 0
In14, Run: 052, F, 0, 92, 0
In14, Run: 053, F, 2, 99, 0
In14, Run: 054, P, 0, 108, 0
In14, Run: 055, P, 0, 105, 0
In14, Run: 056, P, 1, 106, 0
In14, Run: 057, P, 0, 104, 0
In14, Run: 058, F, 1, 92, 0
In14, Run: 059, P, 0, 105, 0
In14, Run: 060, P, 0, 120, 0
In14, Run: 061, P, 0, 126, 0
In14, Run: 062, P, 4, 115, 0
In14, Run: 063, F, 0, 110, 0
In14, Run: 064, P, 0, 101, 0
In14, Run: 065, F, 1, 106, 0
In14, Run: 066, P, 1, 110, 0
In14, Run: 067, P, 1, 103, 0
In14, Run: 068, F, 2, 103, 0
In14, Run: 069, P, 1, 107, 0
In14, Run: 070, P, 0, 107, 0
In14, Run: 071, P, 0, 123, 0
In14, Run: 072, P, 1, 97, 0
In14, Run: 073, F, 1, 101, 0
In14, Run: 074, P, 1, 113, 0
In14, Run: 075, P, 0, 109, 0
In14, Run: 076, F, 2, 98, 0
In14, Run: 077, F, 1, 97, 0
In14, Run: 078, P, 2, 99, 0
In14, Run: 079, F, 2, 98, 0
In14, Run: 080, F, 0, 112, 0
In14, Run: 081, P, 3, 113, 0
In14, Run: 082, P, 1, 110, 0
In14, Run: 083, F, 3, 91, 0
In14, Run: 084, P, 1, 115, 0
In14, Run: 085, F, 1, 108, 0
In14, Run: 086, F, 1, 95, 0
In14, Run: 087, P, 0, 114, 0
In14, Run: 088, P, 1, 119, 0
In14, Run: 089, F, 0, 95, 0
In14, Run: 090, P, 1, 110, 0
In14, Run: 091, P, 1, 114, 0
In14, Run: 092, P, 0, 119, 0
